0.05
0.31
0.26
0.25
0.23
0.21
0.2
0.19
0.18
0.18
0.16
0.16
0.14
0.14
0.14
0.13
0.13
0.12
0.12
0.12
0.11
0.12
0.11
0.11
0.11
0.12
0.11
0.1
0.09
0.1
0.1
0.08
0.08
0.08
0.07
0.07
0.07
0.07
0.07
0.06
0.05
0.05
0.05
0.05
0.04
0.04
0.04
0.03
0.03
0.02
0.01
0.01
0.01
-0.0
-0.02
-0.02
-0.02
-0.04
-0.05
-0.05
-0.05
-0.04
-0.05
-0.05
-0.05
-0.05
-0.04
-0.05
-0.05
-0.05
-0.04
-0.05
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.05
-0.05
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.03
-0.03
-0.04
-0.03
-0.04
-0.04
-0.04
-0.03
-0.04
-0.04
-0.03
-0.04
-0.04
-0.04
-0.04
-0.03
-0.03
-0.03
-0.04
-0.03
-0.03
-0.04
-0.04
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.02
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.02
-0.02
-0.02
-0.03
-0.03
-0.03
-0.02
-0.02
-0.02
-0.03
-0.03
-0.03
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.01
-0.02
-0.02
-0.01
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.03
-0.02
-0.02
-0.01
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.02
-0.02
-0.01
-0.01
-0.01
-0.01
-0.01
-0.02
-0.01
-0.01
-0.01
-0.01
-0.02
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.02
-0.01
-0.0
-0.01
-0.03
-0.14
-0.26
-0.34
-0.37
-0.39
-0.41
-0.42
-0.44
-0.46
-0.49
-0.49
-0.46
-0.44
-0.42
-0.4
-0.4
-0.42
-0.43
-0.42
-0.41
-0.42
-0.43
-0.45
-0.46
-0.46
-0.47
-0.46
-0.45
-0.45
-0.43
-0.4
-0.37
-0.34
-0.31
-0.28
-0.26
-0.24
-0.22
-0.21
-0.2
-0.19
-0.18
-0.15
-0.14
-0.14
-0.13
-0.13
-0.12
-0.12
-0.12
-0.12
-0.11
-0.1
-0.11
-0.11
-0.11
-0.09
-0.09
-0.1
-0.1
-0.09
-0.08
-0.08
-0.09
-0.08
-0.08
-0.07
-0.07
-0.07
-0.06
-0.06
-0.06
-0.05
-0.05
-0.05
-0.04
-0.05
-0.04
-0.03
-0.02
-0.01
-0.03
-0.02
-0.01
0.0
0.0
0.01
0.02
0.04
0.05
0.06
0.06
0.06
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.04
0.05
0.05
0.05
0.05
0.04
0.05
0.05
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.03
0.04
0.03
0.04
0.04
0.04
0.03
0.03
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.03
0.03
0.03
0.03
0.04
0.02
0.04
0.03
0.04
0.03
0.04
0.03
0.02
0.03
0.03
0.03
0.02
0.02
0.02
0.03
0.03
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.03
0.02
0.03
0.02
0.03
0.02
0.03
0.02
0.02
0.03
0.03
0.04
0.02
0.01
0.02
0.02
0.02
0.02
0.03
0.03
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.01
0.01
0.02
0.02
0.02
0.02
0.02
0.01
0.02
0.01
0.02
0.02
0.02
0.01
0.02
0.02
0.02
0.01
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.01
0.02
0.01
0.01
0.02
0.02
0.02
0.02
0.01
0.02
0.02
0.1
0.23
0.33
0.37
0.39
0.42
0.44
0.44
0.45
0.48
0.48
0.46
0.43
0.43
0.42
0.42
0.42
0.42
0.41
0.41
0.41
0.43
0.44
0.44
0.46
0.46
0.47
0.46
0.46
0.43
0.42
0.39
0.38
0.34
0.31
0.28
0.25
0.22
0.19
0.16
0.14
0.14
0.14
0.14
0.14
0.14
0.13
0.13
0.13
0.12
0.12
0.13
0.13
0.12
0.11
0.12
0.11
0.12
0.11
0.1
0.1
0.1
0.1
0.09
0.09
0.09
0.08
0.07
0.07
0.07
0.07
0.06
0.04
0.05
0.04
0.05
0.05
0.04
0.04
0.04
0.03
0.03
0.02
0.02
0.01
0.0
-0.01
-0.02
-0.02
-0.04
-0.04
-0.05
-0.05
-0.05
-0.05
-0.04
-0.04
-0.05
-0.05
-0.05
-0.04
-0.05
-0.05
-0.04
-0.05
-0.05
-0.04
-0.04
-0.04
-0.04
-0.04
-0.03
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.03
-0.03
-0.03
-0.04
-0.04
-0.04
-0.03
-0.03
-0.04
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.02
-0.03
-0.03
-0.03
-0.02
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.02
-0.03
-0.03
-0.03
-0.02
-0.02
-0.02
-0.02
-0.03
-0.02
-0.02
-0.03
-0.03
-0.02
-0.03
-0.03
-0.02
-0.02
-0.03
-0.03
-0.02
-0.02
-0.02
-0.02
-0.01
-0.01
-0.02
-0.02
-0.03
-0.02
-0.02
-0.01
-0.01
-0.02
-0.01
-0.01
-0.02
-0.01
-0.02
-0.02
-0.01
-0.01
-0.01
-0.01
-0.02
-0.02
-0.01
-0.02
-0.01
-0.02
-0.01
-0.02
-0.02
-0.01
-0.01
-0.01
-0.01
-0.0
-0.01
-0.02
-0.01
-0.02
-0.01
-0.02
-0.01
-0.01
-0.01
-0.01
-0.01
-0.02
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.02
-0.01
-0.01
-0.02
-0.09
-0.22
-0.32
-0.37
-0.38
-0.4
-0.42
-0.42
-0.44
-0.47
-0.49
-0.47
-0.45
-0.41
-0.43
-0.42
-0.42
-0.42
-0.42
-0.42
-0.42
-0.42
-0.44
-0.45
-0.46
-0.46
-0.46
-0.45
-0.43
-0.41
-0.39
-0.37
-0.34
-0.31
-0.3
-0.29
-0.28
-0.26
-0.23
-0.22
-0.2
-0.18
-0.16
-0.15
-0.14
-0.12
-0.12
-0.11
-0.11
-0.11
-0.12
-0.11
-0.1
-0.1
-0.1
-0.1
-0.1
-0.09
-0.09
-0.09
-0.09
-0.08
-0.08
-0.08
-0.08
-0.08
-0.07
-0.07
-0.06
-0.06
-0.06
-0.05
-0.06
-0.04
-0.04
-0.04
-0.04
-0.04
-0.03
-0.03
-0.03
-0.02
-0.02
-0.01
-0.01
0.0
-0.0
0.01
0.04
0.05
0.06
0.05
0.05
0.05
0.04
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.04
0.05
0.05
0.05
0.04
0.05
0.05
0.05
0.05
0.04
0.04
0.05
0.04
0.04
0.04
0.04
0.04
0.03
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.05
0.04
0.04
0.05
0.04
0.04
0.04
0.04
0.04
0.03
0.03
0.04
0.05
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.02
0.03
0.03
0.03
0.03
0.03
0.02
0.03
0.04
0.03
0.03
0.03
0.03
0.03
0.02
0.03
0.02
0.03
0.03
0.05
0.02
0.02
0.03
0.03
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.03
0.02
0.02
0.02
0.02
0.02
0.02
0.03
0.03
0.03
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.01
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.01
0.02
0.01
0.01
0.01
0.01
0.02
0.01
0.01
0.02
0.02
0.02
0.02
0.02
0.01
0.02
0.01
0.01
0.02
0.09
0.21
0.31
0.37
0.38
0.41
0.43
0.44
0.45
0.47
0.49
0.46
0.43
0.43
0.42
0.42
0.43
0.42
0.41
0.4
0.41
0.43
0.44
0.45
0.45
0.44
0.46
0.47
0.46
0.45
0.42
0.38
0.35
0.33
0.29
0.27
0.23
0.23
0.22
0.21
0.2
0.18
0.16
0.16
0.16
0.14
0.13
0.13
0.13
0.13
0.11
0.11
0.11
0.11
0.11
0.11
0.11
0.1
0.11
0.1
0.1
0.1
0.1
0.09
0.09
0.08
0.08
0.08
0.07
0.06
0.06
0.07
0.06
0.05
0.05
0.05
0.06
0.04
0.04
0.04
0.03
0.03
0.02
0.01
0.01
0.0
-0.01
-0.02
-0.03
-0.03
-0.04
-0.05
-0.05
-0.05
-0.05
-0.05
-0.05
-0.05
-0.05
-0.05
-0.04
-0.04
-0.05
-0.05
-0.04
-0.04
-0.04
-0.05
-0.04
-0.03
-0.04
-0.04
-0.04
-0.04
-0.03
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.03
-0.04
-0.04
-0.04
-0.04
-0.04
-0.03
-0.04
-0.04
-0.03
-0.03
-0.04
-0.04
-0.04
-0.04
-0.03
-0.03
-0.04
-0.03
-0.03
-0.03
-0.03
-0.03
-0.02
-0.03
-0.03
-0.03
-0.03
-0.02
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.02
-0.02
-0.03
-0.03
-0.02
-0.02
-0.03
-0.03
-0.02
-0.02
-0.02
-0.03
-0.02
-0.02
-0.02
-0.02
-0.03
-0.02
-0.02
-0.02
-0.02
-0.02
-0.01
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.01
-0.02
-0.02
-0.02
-0.01
-0.01
-0.01
-0.02
-0.01
-0.01
-0.01
-0.02
-0.01
-0.01
-0.01
-0.01
-0.02
-0.01
-0.02
-0.01
-0.01
-0.01
-0.02
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.02
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.02
-0.01
-0.01
-0.01
-0.08
-0.2
-0.3
-0.37
-0.38
-0.41
-0.43
-0.4
-0.44
-0.47
-0.49
-0.47
-0.45
-0.43
-0.42
-0.41
-0.41
-0.41
-0.42
-0.41
-0.42
-0.43
-0.43
-0.44
-0.45
-0.46
-0.47
-0.46
-0.43
-0.4
-0.39
-0.37
-0.35
-0.33
-0.31
-0.29
-0.27
-0.25
-0.23
-0.21
-0.19
-0.18
-0.16
-0.15
-0.14
-0.14
-0.12
-0.12
-0.12
-0.11
-0.11
-0.11
-0.11
-0.1
-0.09
-0.1
-0.1
-0.09
-0.1
-0.09
-0.09
-0.09
-0.08
-0.08
-0.08
-0.08
-0.08
-0.06
-0.07
-0.07
-0.07
-0.06
-0.05
-0.05
-0.05
-0.04
-0.04
-0.03
-0.04
-0.03
-0.02
-0.02
-0.02
-0.01
-0.0
0.0
0.01
0.01
0.02
0.04
0.05
0.05
0.05
0.05
0.06
0.05
0.06
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.04
0.04
0.04
0.05
0.05
0.05
0.04
0.05
0.05
0.05
0.04
0.04
0.04
0.05
0.04
0.04
0.04
0.05
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.03
0.04
0.04
0.04
0.04
0.04
0.03
0.04
0.04
0.04
0.04
0.04
0.04
0.03
0.03
0.03
0.03
0.04
0.03
0.03
0.03
0.03
0.03
0.03
0.04
0.03
0.04
0.04
0.03
0.03
0.03
0.04
0.03
0.03
0.03
0.03
0.02
0.04
0.03
0.03
0.03
0.03
0.02
0.02
0.02
0.03
0.02
0.02
0.03
0.02
0.02
0.03
0.02
0.02
0.03
0.02
0.03
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.03
0.02
0.03
0.03
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.03
0.02
0.01
0.02
0.01
0.02
0.02
0.02
0.01
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.01
0.01
0.01
0.02
0.01
0.06
0.17
0.29
0.36
0.39
0.4
0.43
0.43
0.45
0.48
0.49
0.48
0.45
0.43
0.43
0.43
0.43
0.43
0.42
0.42
0.41
0.43
0.44
0.44
0.45
0.45
0.46
0.47
0.46
0.45
0.43
0.4
0.37
0.34
0.3
0.27
0.24
0.21
0.21
0.2
0.19
0.18
0.17
0.15
0.15
0.14
0.13
0.13
0.13
0.13
0.12
0.11
0.11
0.12
0.12
0.11
0.1
0.11
0.11
0.1
0.1
0.1
0.1
0.09
0.09
0.08
0.08
0.08
0.08
0.07
0.06
0.06
0.06
0.04
0.05
0.06
0.05
0.04
0.04
0.03
0.02
0.03
0.02
0.0
0.01
0.01
-0.0
-0.01
-0.03
-0.03
-0.04
-0.05
-0.05
-0.04
-0.04
-0.04
-0.05
-0.05
-0.04
-0.05
-0.05
-0.05
-0.05
-0.04
-0.05
-0.04
-0.05
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.03
-0.03
-0.04
-0.04
-0.03
-0.04
-0.03
-0.04
-0.03
-0.03
-0.03
-0.02
-0.04
-0.03
-0.03
-0.04
-0.03
-0.03
-0.04
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.02
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.04
-0.02
-0.03
-0.02
-0.03
-0.02
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.02
-0.03
-0.02
-0.02
-0.03
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.01
-0.03
-0.02
-0.03
-0.02
-0.02
-0.01
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.03
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.01
-0.02
-0.01
-0.02
-0.01
-0.01
-0.01
-0.01
-0.02
-0.02
-0.01
-0.02
-0.02
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.02
-0.02
-0.02
-0.01
-0.02
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.04
-0.15
-0.27
-0.35
-0.37
-0.38
-0.42
-0.43
-0.43
-0.46
-0.47
-0.47
-0.46
-0.42
-0.43
-0.41
-0.41
-0.41
-0.42
-0.42
-0.42
-0.42
-0.43
-0.44
-0.45
-0.47
-0.47
-0.47
-0.45
-0.43
-0.4
-0.37
-0.35
-0.32
-0.3
-0.29
-0.28
-0.26
-0.25
-0.23
-0.21
-0.2
-0.17
-0.15
-0.14
-0.13
-0.13
-0.12
-0.12
-0.11
-0.11
-0.12
-0.11
-0.11
-0.11
-0.1
-0.11
-0.1
-0.1
-0.1
-0.09
-0.09
-0.08
-0.08
-0.08
-0.08
-0.08
-0.07
-0.06
-0.07
-0.06
-0.06
-0.05
-0.05
-0.05
-0.05
-0.04
-0.04
-0.03
-0.04
-0.02
-0.01
-0.02
-0.01
-0.01
-0.0
0.0
0.01
0.02
0.03
0.05
0.05
0.05
0.05
0.05
0.05
0.04
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.04
0.04
0.05
0.04
0.05
0.04
0.04
0.05
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.05
0.03
0.04
0.04
0.04
0.04
0.04
0.03
0.04
0.03
0.04
0.04
0.04
0.03
0.03
0.04
0.04
0.04
0.04
0.04
0.04
0.03
0.03
0.04
0.03
0.04
0.04
0.04
0.03
0.04
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.02
0.03
0.04
0.03
0.03
0.04
0.02
0.03
0.03
0.02
0.03
0.04
0.03
0.03
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.03
0.02
0.03
0.03
0.02
0.03
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.03
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.01
0.02
0.02
0.03
0.02
0.02
0.02
0.01
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.01
0.01
0.01
0.02
0.01
0.02
0.02
0.02
0.02
0.01
0.01
0.02
0.02
0.02
0.01
0.01
0.02
0.01
0.04
0.15
0.26
0.35
0.38
0.39
0.43
0.44
0.44
0.46
0.48
0.47
0.45
0.43
0.42
0.42
0.42
0.43
0.43
0.41
0.41
0.42
0.43
0.45
0.45
0.45
0.46
0.46
0.47
0.46
0.43
0.39
0.36
0.34
0.31
0.29
0.25
0.24
0.23
0.21
0.2
0.18
0.17
0.16
0.16
0.14
0.13
0.13
0.13
0.12
0.13
0.12
0.12
0.12
0.12
0.11
0.1
0.11
0.11
0.11
0.09
0.1
0.1
0.1
0.08
0.08
0.07
0.08
0.07
0.07
0.06
0.06
0.06
0.05
0.05
0.05
0.05
0.05
0.04
0.04
0.03
0.04
0.02
0.01
0.01
0.01
0.0
-0.01
-0.02
-0.03
-0.04
-0.05
-0.05
-0.04
-0.05
-0.04
-0.05
-0.05
-0.05
-0.05
-0.04
-0.05
-0.04
-0.05
-0.04
-0.04
-0.05
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.03
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.03
-0.04
-0.04
-0.03
-0.03
-0.03
-0.03
-0.03
-0.04
-0.03
-0.03
-0.03
-0.04
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.04
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.04
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.02
-0.02
-0.03
-0.02
-0.02
-0.03
-0.02
-0.02
-0.02
-0.03
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.03
-0.02
-0.02
-0.01
-0.02
-0.03
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.03
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.01
-0.02
-0.02
-0.01
-0.02
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.02
-0.02
-0.02
-0.01
-0.01
-0.01
-0.02
-0.01
-0.02
-0.01
-0.01
-0.01
-0.01
-0.02
-0.01
-0.02
-0.01
-0.01
-0.01
-0.01
-0.02
-0.02
-0.01
-0.01
-0.01
-0.01
-0.03
-0.13
-0.25
-0.34
-0.38
-0.39
-0.42
-0.43
-0.43
-0.45
-0.46
-0.47
-0.46
-0.44
-0.42
-0.42
-0.41
-0.41
-0.42
-0.42
-0.42
-0.42
-0.42
-0.43
-0.45
-0.45
-0.45
-0.46
-0.45
-0.43
-0.41
-0.39
-0.36
-0.34
-0.31
-0.29
-0.27
-0.25
-0.24
-0.22
-0.21
-0.19
-0.18
-0.16
-0.14
-0.13
-0.13
-0.12
-0.12
-0.1
-0.1
-0.1
-0.11
-0.11
-0.1
-0.1
-0.1
-0.1
-0.09
-0.09
-0.09
-0.09
-0.09
-0.08
-0.08
-0.08
-0.08
-0.08
-0.07
-0.07
-0.07
-0.06
-0.05
-0.05
-0.05
-0.05
-0.05
-0.03
-0.03
-0.04
-0.03
-0.02
-0.03
-0.02
-0.02
0.0
0.01
0.01
0.01
0.03
0.05
0.05
0.05
0.06
0.06
0.05
0.05
0.06
0.05
0.05
0.05
0.05
0.05
0.04
0.05
0.04
0.04
0.05
0.05
0.05
0.04
0.04
0.05
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.03
0.03
0.04
0.03
0.04
0.04
0.04
0.04
0.02
0.03
0.04
0.03
0.04
0.03
0.03
0.04
0.03
0.03
0.03
0.03
0.04
0.03
0.02
0.03
0.03
0.02
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.03
0.02
0.03
0.03
0.03
0.03
0.02
0.02
0.02
0.03
0.02
0.03
0.02
0.03
0.02
0.03
0.03
0.02
0.03
0.02
0.02
0.02
0.02
0.02
0.03
0.02
0.02
0.03
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.02
0.01
0.02
0.03
0.02
0.02
0.02
0.02
0.01
0.02
0.02
0.02
0.02
0.01
0.02
0.02
0.02
0.02
0.01
0.01
0.02
0.01
0.02
0.01
0.01
0.01
0.02
0.01
0.02
0.02
0.02
0.01
0.01
0.01
0.02
0.02
0.01
0.02
0.01
0.02
0.03
0.11
0.23
0.34
0.38
0.4
0.41
0.43
0.44
0.46
0.49
0.5
0.46
0.43
0.42
0.42
0.42
0.43
0.42
0.41
0.41
0.41
0.43
0.45
0.43
0.47
0.46
0.46
0.46
0.47
0.45
0.43
0.39
0.36
0.33
0.31
0.27
0.24
0.21
0.19
0.17
0.17
0.14
0.14
0.14
0.13
0.13
0.12
0.13
0.13
0.13
0.12
0.12
0.12
0.12
0.12
0.11
0.11
0.11
0.11
0.11
0.1
0.1
0.09
0.09
0.08
0.08
0.07
0.08
0.08
0.06
0.06
0.06
0.06
0.05
0.05
0.05
0.05
0.04
0.04
0.03
0.02
0.03
0.01
0.01
0.01
0.0
-0.0
-0.02
-0.03
-0.04
-0.04
-0.05
-0.05
-0.04
-0.05
-0.05
-0.05
-0.06
-0.06
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.03
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.04
-0.03
-0.04
-0.03
-0.04
-0.03
-0.04
-0.04
-0.03
-0.03
-0.04
-0.04
-0.03
-0.03
-0.03
-0.03
-0.03
-0.02
-0.03
-0.03
-0.04
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.02
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.03
-0.02
-0.02
-0.03
-0.03
-0.03
-0.03
-0.03
-0.02
-0.03
-0.03
-0.02
-0.02
-0.01
-0.02
-0.03
-0.02
-0.03
-0.01
-0.02
-0.01
-0.02
-0.02
-0.02
-0.03
-0.02
-0.02
-0.02
-0.01
-0.02
-0.02
-0.02
-0.02
-0.01
-0.02
-0.02
-0.01
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.02
-0.01
-0.02
-0.02
-0.02
-0.02
-0.01
-0.02
-0.02
-0.01
-0.01
-0.02
-0.01
-0.01
-0.01
-0.02
-0.01
-0.01
-0.02
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.02
-0.01
-0.01
-0.01
-0.02
